model,accuracy,precision,recall,f1,f2,mcc
LR,0.9319645732689211,0.9318847539015607,0.93,0.9301052631578947,0.9298403819260259,0.8613324194541878
GNB,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
RF,0.9722222222222222,0.9718367346938775,0.97,0.9700451127819548,0.9698075902975358,0.9416057111088185
SVM,0.9396135265700483,0.94,0.94,0.94,0.94,0.8792270531400966
LGB,0.9239130434782609,0.9380327868852458,0.93,0.9292480818414321,0.9285959430800861,0.8663339822384801
LDA,0.9239130434782609,0.9380327868852458,0.93,0.9292480818414321,0.9285959430800861,0.8663339822384801
LR,0.9347826086956521,0.946,0.94,0.939485924112607,0.9389751552795031,0.8846517369293827
GNB,0.9130434782608696,0.9303225806451613,0.92,0.9189490968801315,0.9181541253483699,0.8482305648608138
RF,0.9130434782608696,0.9303225806451613,0.92,0.9189490968801315,0.9181541253483699,0.8482305648608138
SVM,0.9363929146537842,0.942495894909688,0.94,0.9397077922077921,0.9395194108907694,0.8813427577424838
LGB,0.9089635854341737,0.9139772727272728,0.91,0.9096834488996081,0.9093269230769231,0.8237158288773264
LDA,0.9081632653061225,0.9235,0.91,0.9090980868508959,0.9078678736517719,0.8329931278350429
LR,0.9387755102040816,0.9463157894736842,0.94,0.9397101449275362,0.9390708411484634,0.8861022676792173
GNB,0.9089635854341737,0.9139772727272728,0.91,0.9096834488996081,0.9093269230769231,0.8237158288773264
RF,0.9293717486994798,0.9314734299516908,0.93,0.9298947368421053,0.9297568710359408,0.8613324194541878
SVM,0.9191676670668267,0.9225858585858586,0.92,0.9198073063026897,0.9195693618930133,0.8423901840752088
LGB,0.9375,0.9538461538461539,0.95,0.9493333333333334,0.9491382934005884,0.8987170342729172
LDA,0.9375,0.9538461538461539,0.95,0.9493333333333334,0.9491382934005884,0.8987170342729172
LR,0.925,0.9298865069356873,0.93,0.9298462182236635,0.9299153575184894,0.8537433336181032
GNB,0.9125,0.9373134328358209,0.93,0.928572969474706,0.9282881301581408,0.8595382307665282
RF,0.925,0.9454545454545454,0.94,0.938996138996139,0.9387507580351729,0.8790490729915326
SVM,0.9291666666666667,0.9304671351798265,0.93,0.9301379811183733,0.9300321136790961,0.854955804786627
LGB,0.9464285714285714,0.9472,0.94,0.9402167804094741,0.9392674891802855,0.8864052604279183
LDA,0.9732142857142857,0.9719148936170212,0.97,0.9700816614578082,0.9698207896909554,0.9412854174383384
LR,0.9886363636363636,0.9901754385964913,0.99,0.9899867765232429,0.9899705877573571,0.979861006320049
GNB,0.9553571428571428,0.9551020408163265,0.95,0.95017586172244,0.9494949494949495,0.9043142465756949
RF,0.9375,0.939607843137255,0.93,0.9302456140350877,0.9289958206257765,0.8688509427884128
SVM,0.9683441558441559,0.9701183190534476,0.97,0.9699603295697284,0.9699605128455124,0.939169104064233
LGB,0.8961412151067323,0.9166153846153846,0.91,0.908470066518847,0.908289794496691,0.8198378532561439
LDA,0.9166666666666667,0.9375384615384615,0.93,0.9288100517368809,0.9283989318472077,0.8623164985025762
LR,0.94376026272578,0.9511979823455233,0.95,0.9497043261749144,0.9496710689024088,0.8980899296054904
GNB,0.9080459770114943,0.9248958333333335,0.92,0.9188902900378311,0.9187400635930046,0.8391440136273638
RF,0.9080459770114943,0.9248958333333335,0.92,0.9188902900378311,0.9187400635930046,0.8391440136273638
SVM,0.9318555008210181,0.9421731748726656,0.94,0.9394999999999999,0.9394293639786011,0.8782526127038116
LGB,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
LDA,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
LR,0.962962962962963,0.9632,0.96,0.9600641025641026,0.9596555491292332,0.9229582069908971
GNB,0.9351851851851851,0.939245283018868,0.93,0.9300490049004901,0.9289230078131268,0.8691465889892466
RF,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
SVM,0.962962962962963,0.9632,0.96,0.9600641025641026,0.9596555491292332,0.9229582069908971
LGB,0.9310897435897436,0.9317166866746699,0.93,0.9300210021002101,0.9298073689772782,0.8616618170714668
LDA,0.9711538461538461,0.9717647058823529,0.97,0.97000900090009,0.9697939184320507,0.9417419115948374
LR,0.9607371794871795,0.9608,0.96,0.960016006402561,0.9599141520917419,0.9207368843792509
GNB,0.8830128205128205,0.8906493506493507,0.88,0.8796153846153846,0.8784946236559139,0.7709837875506855
RF,0.9118589743589745,0.9144761140104376,0.91,0.90995499549955,0.909435774309724,0.8245442283406054
SVM,0.9799679487179487,0.98,0.98,0.98,0.98,0.9599358974358975
LGB,0.94,0.9464285714285714,0.94,0.9397832195905259,0.9391009221311475,0.8864052604279183
LDA,0.94,0.9464285714285714,0.94,0.9397832195905259,0.9391009221311475,0.8864052604279183
LR,0.94,0.9428341384863124,0.94,0.9399038461538461,0.9396005377376607,0.8828295892956407
GNB,0.9299999999999999,0.9385964912280701,0.93,0.9296553110240177,0.9287681542329186,0.8685539504902852
RF,0.94,0.9464285714285714,0.94,0.9397832195905259,0.9391009221311475,0.8864052604279183
SVM,0.94,0.94,0.94,0.94,0.94,0.88
LGB,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
LDA,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
LR,0.9428341384863124,0.9431999999999999,0.94,0.9400961538461539,0.9396761133603239,0.8828295892956407
GNB,0.9166666666666667,0.9247272727272727,0.91,0.90991899189919,0.9081950656470927,0.8348471099367218
RF,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
SVM,0.9396135265700483,0.94,0.94,0.94,0.94,0.8792270531400966
LGB,0.875615763546798,0.8956923076923077,0.89,0.8881300813008131,0.8881806571461744,0.7773592080097116
LDA,0.8928571428571428,0.922089552238806,0.91,0.9078400000000001,0.907317925423052,0.8247245453440583
LR,0.9199507389162561,0.9334105534105536,0.93,0.9292310911183178,0.9291194708557255,0.8586098188086737
GNB,0.8875205254515599,0.9041666666666666,0.9,0.8986128625472887,0.8986486486486487,0.7969335501652227
RF,0.8994252873563219,0.9128528528528528,0.91,0.9090114028664087,0.9090450599421248,0.8166445295218372
SVM,0.9080459770114943,0.9248958333333335,0.92,0.9188902900378311,0.9187400635930046,0.8391440136273638
LGB,0.94,0.9464285714285714,0.94,0.9397832195905259,0.9391009221311475,0.8864052604279183
LDA,0.96,0.962962962962963,0.96,0.9599358974358975,0.9596056590487165,0.9229582069908971
LR,0.94,0.94,0.94,0.94,0.94,0.88
GNB,0.9,0.9166666666666667,0.9,0.898989898989899,0.8974358974358975,0.8164965809277261
RF,0.9099999999999999,0.9237288135593221,0.91,0.9092650468797259,0.9079366859449846,0.8336157713463008
SVM,0.9299999999999999,0.9315535929345645,0.93,0.9299369432489241,0.9297738874397914,0.8615521921784256
LGB,0.8855881172219993,0.8969726642186862,0.88,0.8795192307692307,0.8776950780312126,0.7774435153568053
LDA,0.9339622641509434,0.9390740740740741,0.93,0.9299509950995098,0.9288855788327247,0.8691465889892466
LR,0.9421918908069049,0.9431052420968388,0.94,0.940048019207683,0.9396575770692059,0.8829670665966918
GNB,0.8761541549578482,0.8901395730706075,0.87,0.8692832080200502,0.8671867998207542,0.7607537131974346
RF,0.8950220794861501,0.904025974025974,0.89,0.8897027324592134,0.8881499743852459,0.7943609354711192
SVM,0.930349257326375,0.9302564102564103,0.93,0.9300350877192983,0.9299916538263995,0.8598360046509037
LGB,0.9037842190016103,0.9173854560739807,0.91,0.9090332480818415,0.9085347493160222,0.8251975158453899
LDA,0.8804347826086957,0.9086153846153846,0.89,0.8876148978109762,0.886441118640212,0.7950515853775597
LR,0.9021739130434783,0.9228571428571428,0.91,0.9085820203892493,0.9076485184644576,0.8303258359155277
GNB,0.8711755233494365,0.8944097222222223,0.88,0.8777676725919801,0.8769805194805194,0.7708038648963834
RF,0.9037842190016103,0.9173854560739807,0.91,0.9090332480818415,0.9085347493160222,0.8251975158453899
SVM,0.9255233494363929,0.93386523356759,0.93,0.9295371783134982,0.9292525252525252,0.8624049747048347
LGB,0.9347826086956521,0.946,0.94,0.939485924112607,0.9389751552795031,0.8846517369293827
LDA,0.8695652173913043,0.9018181818181819,0.88,0.877,0.8757368729260199,0.777652289268123
LR,0.8852657004830917,0.8931211244315833,0.89,0.8892727087783541,0.8891717171717172,0.7808151000875372
GNB,0.8913043478260869,0.915625,0.9,0.8981397271599835,0.8970779220779221,0.8126045083289422
RF,0.9347826086956521,0.946,0.94,0.939485924112607,0.9389751552795031,0.8846517369293827
SVM,0.9210950080515299,0.9209294871794873,0.92,0.9200963468486552,0.9199498198661863,0.8401630817176212
LGB,0.9245283018867925,0.9316363636363636,0.92,0.9198719487795118,0.9185345310723608,0.8517966080036466
LDA,0.9528301886792453,0.9548076923076922,0.95,0.9500250025002501,0.9494391025641025,0.9047528108640106
LR,0.9409875551987155,0.9408483393357343,0.94,0.9400480769230769,0.9399287673870144,0.8805622538869414
GNB,0.9056603773584906,0.9175438596491228,0.9,0.8995993589743592,0.8976790716286515,0.8179142865882891
RF,0.9339622641509434,0.9390740740740741,0.93,0.9299509950995098,0.9288855788327247,0.8691465889892466
SVM,0.9504215174628663,0.9502403846153845,0.95,0.9500250626566416,0.9499871597329225,0.8999402959126063
LGB,0.9594155844155845,0.96,0.96,0.96,0.96,0.9188311688311688
LDA,0.9431818181818181,0.9540983606557377,0.95,0.9495623519719905,0.9492452060383516,0.9020592437776189
LR,0.9456168831168831,0.9513021909880115,0.95,0.949769820971867,0.9496995652244712,0.8994852578458399
GNB,0.9253246753246753,0.9310789582472095,0.93,0.9296777493606138,0.9296673234436826,0.858525091277268
RF,0.9594155844155845,0.96,0.96,0.96,0.96,0.9188311688311688
SVM,0.9797077922077921,0.98,0.98,0.98,0.98,0.9594155844155844
LGB,0.9445124439004488,0.9435006021678041,0.94,0.9402424242424243,0.9397309023546043,0.8818581051340337
LDA,0.956140350877193,0.9552083333333334,0.95,0.9502268373828008,0.9495129870129869,0.9040196137188088
LR,0.9736842105263157,0.9719565217391305,0.97,0.9701002125721228,0.9698272496584033,0.9410544745270913
GNB,0.9094247246022031,0.9124849939975991,0.9,0.9004817342432758,0.8987955513104855,0.8109472189841264
RF,0.926968584251326,0.9273949579831933,0.92,0.9203864734299517,0.9193499732399164,0.8456963275205662
SVM,0.9620563035495715,0.9609696969696969,0.96,0.9600974025974025,0.9599452866750258,0.9196211462104368
LGB,0.9047619047619048,0.9296969696969697,0.92,0.9183701188455009,0.9178948767359958,0.8434451442741913
LDA,0.9166666666666667,0.9375384615384615,0.93,0.9288100517368809,0.9283989318472077,0.8623164985025762
LR,0.94376026272578,0.9511979823455233,0.95,0.9497043261749144,0.9496710689024088,0.8980899296054904
GNB,0.9404761904761905,0.9539682539682539,0.95,0.949450779370227,0.9491938817693262,0.9005751080955101
RF,0.9285714285714286,0.945625,0.94,0.9391677175283732,0.9388314785373609,0.8813544770895048
SVM,0.94376026272578,0.9511979823455233,0.95,0.9497043261749144,0.9496710689024088,0.8980899296054904
LGB,0.9423076923076923,0.9466666666666665,0.94,0.9399279711884754,0.9391588246591127,0.886749562348235
LDA,0.9230769230769231,0.9314285714285714,0.92,0.9197435897435898,0.9184843830005122,0.8516306272526402
LR,0.9310897435897436,0.9317166866746699,0.93,0.9300210021002101,0.9298073689772782,0.8616618170714668
GNB,0.9423076923076923,0.9466666666666665,0.94,0.9399279711884754,0.9391588246591127,0.886749562348235
RF,0.9519230769230769,0.9547169811320755,0.95,0.9499749974997499,0.9494197679071629,0.9047528108640106
SVM,0.9102564102564102,0.910236094437775,0.91,0.9100270243218899,0.9099889456735929,0.8200201679193142
LGB,0.9581320450885669,0.960616883116883,0.96,0.959919191919192,0.9598748710010321,0.9199751790401643
LDA,0.9891304347826086,0.9901818181818182,0.99,0.9899909265046881,0.9899724455759841,0.9800379116648474
LR,0.9798711755233495,0.98,0.98,0.98,0.98,0.9597423510466989
GNB,0.9363929146537842,0.942495894909688,0.94,0.9397077922077921,0.9395194108907694,0.8813427577424838
RF,0.9472624798711755,0.95140758873929,0.95,0.949832979046462,0.9497264849687757,0.9005267193794991
SVM,0.9907407407407407,0.9902127659574468,0.99,0.9900070344688976,0.9899789182317064,0.9801014726900014
LGB,0.9146537842190017,0.9255,0.92,0.9193145654834761,0.9189246894409939,0.8436956379974668
LDA,0.9130434782608696,0.9303225806451613,0.92,0.9189490968801315,0.9181541253483699,0.8482305648608138
LR,0.9565217391304348,0.9627586206896552,0.96,0.9598051948051949,0.9595504166397519,0.9219950989667682
GNB,0.9146537842190017,0.9255,0.92,0.9193145654834761,0.9189246894409939,0.8436956379974668
RF,0.9363929146537842,0.942495894909688,0.94,0.9397077922077921,0.9395194108907694,0.8813427577424838
SVM,0.9363929146537842,0.942495894909688,0.94,0.9397077922077921,0.9395194108907694,0.8813427577424838
LGB,0.9044560417503011,0.9113131313131313,0.9,0.8998399359743897,0.898552465132664,0.8115225367032378
LDA,0.9528301886792453,0.9548076923076922,0.95,0.9500250025002501,0.9494391025641025,0.9047528108640106
LR,0.9409875551987155,0.9408483393357343,0.94,0.9400480769230769,0.9399287673870144,0.8805622538869414
GNB,0.8950220794861501,0.904025974025974,0.89,0.8897027324592134,0.8881499743852459,0.7943609354711192
RF,0.8950220794861501,0.904025974025974,0.89,0.8897027324592134,0.8881499743852459,0.7943609354711192
SVM,0.9504215174628663,0.9502403846153845,0.95,0.9500250626566416,0.9499871597329225,0.8999402959126063
LGB,0.9037842190016103,0.9173854560739807,0.91,0.9090332480818415,0.9085347493160222,0.8251975158453899
LDA,0.9239130434782609,0.9380327868852458,0.93,0.9292480818414321,0.9285959430800861,0.8663339822384801
LR,0.9597423510466989,0.96,0.96,0.96,0.96,0.9194847020933977
GNB,0.9363929146537842,0.942495894909688,0.94,0.9397077922077921,0.9395194108907694,0.8813427577424838
RF,0.9255233494363929,0.93386523356759,0.93,0.9295371783134982,0.9292525252525252,0.8624049747048347
SVM,0.9488727858293076,0.9501010101010101,0.95,0.9499546325234399,0.94995891006945,0.8993763551492221
LGB,0.9166666666666666,0.915959595959596,0.91,0.910690537084399,0.9097147581645308,0.8206099398622182
LDA,0.9666666666666667,0.9636363636363636,0.96,0.9602627257799672,0.9597244303126655,0.9211323729436766
LR,0.975,0.972093023255814,0.97,0.9701575532900832,0.9698462457083147,0.9400643223910575
GNB,0.9083333333333333,0.9082125603864734,0.9,0.9008567931456548,0.8995442837329106,0.802739539065551
RF,0.925,0.9240259740259741,0.92,0.9205254515599343,0.9198463169051405,0.8388884110737054
SVM,0.9708333333333333,0.9703183133526251,0.97,0.9700591347650172,0.9699995008236411,0.9379612227270763
LGB,0.8761541549578482,0.8901395730706075,0.87,0.8692832080200502,0.8671867998207542,0.7607537131974346
LDA,0.9150943396226415,0.9244642857142857,0.91,0.9097567811029927,0.9081326844262295,0.8347248041434321
LR,0.9339622641509434,0.9390740740740741,0.93,0.9299509950995098,0.9288855788327247,0.8691465889892466
GNB,0.8950220794861501,0.904025974025974,0.89,0.8897027324592134,0.8881499743852459,0.7943609354711192
RF,0.8855881172219993,0.8969726642186862,0.88,0.8795192307692307,0.8776950780312126,0.7774435153568053
SVM,0.9433962264150944,0.9467924528301888,0.94,0.94,0.9391867860747528,0.8867924528301887
LGB,0.9412238325281803,0.9408974358974359,0.94,0.9400722601364913,0.9399382398353063,0.8803238408819435
LDA,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
LR,0.9444444444444444,0.946923076923077,0.94,0.9400720288115246,0.9392141756548535,0.886749562348235
GNB,0.9319645732689211,0.9318847539015607,0.93,0.9301052631578947,0.9298403819260259,0.8613324194541878
RF,0.9319645732689211,0.9318847539015607,0.93,0.9301052631578947,0.9298403819260259,0.8613324194541878
SVM,0.962962962962963,0.9632,0.96,0.9600641025641026,0.9596555491292332,0.9229582069908971
LGB,0.9272727272727272,0.9320754716981132,0.92,0.9201280512204881,0.9186317532269213,0.8517966080036466
LDA,0.9181818181818182,0.925,0.91,0.91008100810081,0.9082562174667439,0.8348471099367218
LR,0.9343434343434343,0.935,0.93,0.9301754385964912,0.9295088566827698,0.8643325211229224
GNB,0.9090909090909092,0.9181818181818181,0.9,0.9,0.897832195905259,0.8181818181818182
RF,0.9272727272727272,0.9320754716981132,0.92,0.9201280512204881,0.9186317532269213,0.8517966080036466
SVM,0.9595959595959596,0.96,0.96,0.96,0.96,0.9191919191919192
LGB,0.9487179487179487,0.9515151515151515,0.95,0.9498944829665361,0.9497521297588679,0.9012351592258327
LDA,0.90625,0.92327868852459,0.91,0.9089288983826671,0.9077970356780765,0.8322397195638238
LR,0.9479166666666667,0.9543859649122807,0.95,0.9497731626171992,0.9493376154154959,0.9040196137188088
GNB,0.9487179487179487,0.9515151515151515,0.95,0.9498944829665361,0.9497521297588679,0.9012351592258327
RF,0.9591346153846154,0.9606763285024155,0.96,0.9599518265756725,0.9598883828340496,0.9204846000462656
SVM,0.969551282051282,0.9701645925331193,0.97,0.969984962406015,0.9699706632039629,0.9400445871743088
LGB,0.9166666666666667,0.9306666666666666,0.92,0.9192207792207792,0.9182707153885744,0.8498365855987975
LDA,0.9583333333333333,0.9628571428571427,0.96,0.9598711755233496,0.9595788392398561,0.9225998461903602
LR,0.9591346153846154,0.9606763285024155,0.96,0.9599518265756725,0.9598883828340496,0.9204846000462656
GNB,0.8958333333333333,0.9161290322580646,0.9,0.8985720114239086,0.8972624798711755,0.8148487556741164
RF,0.8958333333333333,0.9161290322580646,0.9,0.8985720114239086,0.8972624798711755,0.8148487556741164
SVM,0.9703525641025641,0.9702120848339335,0.97,0.9700090081072966,0.9699802944616223,0.94014030970437
LGB,0.8836553945249597,0.8967381252627155,0.89,0.8888184143222506,0.8884735555519581,0.7840610494522997
LDA,0.9021739130434783,0.9228571428571428,0.91,0.9085820203892493,0.9076485184644576,0.8303258359155277
LR,0.9565217391304348,0.9627586206896552,0.96,0.9598051948051949,0.9595504166397519,0.9219950989667682
GNB,0.8619162640901772,0.8808494208494209,0.87,0.8679518072289156,0.8674792001167713,0.747210136624684
RF,0.8619162640901772,0.8808494208494209,0.87,0.8679518072289156,0.8674792001167713,0.747210136624684
SVM,0.9565217391304348,0.9627586206896552,0.96,0.9598051948051949,0.9595504166397519,0.9219950989667682
LGB,0.9018883415435139,0.9058103241296519,0.89,0.8906964124208622,0.8885243504119339,0.7935803715542659
LDA,0.9827586206896552,0.980909090909091,0.98,0.9800571195430436,0.9799266247379456,0.9600156738532383
LR,0.9794745484400657,0.98,0.98,0.98,0.98,0.9589490968801314
GNB,0.8846469622331692,0.8925652348454436,0.87,0.87071679197995,0.8677289608978414,0.7607537131974346
RF,0.8932676518883416,0.8990705128205128,0.88,0.8807226013649136,0.8781493506493507,0.7770242489833009
SVM,0.9675697865353037,0.9700950806118231,0.97,0.969947482236639,0.9699551127114882,0.93841975909282
LGB,0.8996386993175431,0.9,0.9,0.9,0.9,0.7992773986350863
LDA,0.9042553191489362,0.9230645161290323,0.91,0.9087570332480819,0.9077239842387442,0.8313520258007555
LR,0.8960256924929747,0.9052087639520462,0.9,0.8992694805194804,0.8989268276962247,0.8037524084540022
GNB,0.8783621035728624,0.8803232323232322,0.88,0.8798067632850242,0.8798379707768723,0.7591662440127064
RF,0.8996386993175431,0.9,0.9,0.9,0.9,0.7992773986350863
SVM,0.9397832195905259,0.94,0.94,0.94,0.94,0.8795664391810518
LGB,0.8958333333333333,0.9,0.88,0.8812121212121212,0.8783251231527095,0.7756717518813397
LDA,0.925,0.9265306122448979,0.91,0.9109019131491042,0.9085483154935136,0.8329931278350429
LR,0.95,0.9478260869565217,0.94,0.940514075887393,0.9393699227263721,0.8846517369293827
GNB,0.8791666666666667,0.8875,0.86,0.8613526570048309,0.8575078616352201,0.7436070123989478
RF,0.8875,0.8936374549819928,0.87,0.87129750982962,0.8679381426392692,0.7594937342025391
SVM,0.9666666666666667,0.9636363636363636,0.96,0.9602627257799672,0.9597244303126655,0.9211323729436766
LGB,0.9216057166876839,0.9208776167471819,0.91,0.9109667519181586,0.9092813475978471,0.8251975158453899
LDA,0.9426229508196722,0.9406521739130435,0.93,0.9307519181585678,0.9291697122732407,0.8663339822384801
LR,0.9508196721311475,0.9480000000000001,0.94,0.9405911330049261,0.9393949982528828,0.883980070492159
GNB,0.9134089953762085,0.9138097149739061,0.9,0.9011423908608731,0.8990313645486059,0.8080165852327799
RF,0.9134089953762085,0.9138097149739061,0.9,0.9011423908608731,0.8990313645486059,0.8080165852327799
SVM,0.959016393442623,0.9556818181818181,0.95,0.9504376480280095,0.9495833333333334,0.9020592437776189
LGB,0.9015606242496998,0.9107711138310893,0.9,0.8995182657567241,0.8984253732537485,0.8109472189841264
LDA,0.9411764705882353,0.9465454545454546,0.94,0.9398557692307692,0.9391302260836173,0.886620694933573
LR,0.9309723889555822,0.9344685990338164,0.93,0.9298949054148734,0.9294,0.8645433511203731
GNB,0.8917567026810724,0.9033743842364532,0.89,0.8893035875791377,0.8879921259842518,0.7935803715542659
RF,0.9015606242496998,0.9107711138310893,0.9,0.8995182657567241,0.8984253732537485,0.8109472189841264
SVM,0.9399759903961584,0.94,0.94,0.94,0.94,0.879951980792317
